Source,Target,From,To,Catagory
1,4,Nicholas of Clairvaux,"Burchard, Abbot of Balerne",a
1,5,Nicholas of Clairvaux,"Hugh II, Archbishop of Tours",d
1,6,Nicholas of Clairvaux,"Henry, Bishop of Troyes",d
1,7,Nicholas of Clairvaux,Peter of Celle,d
1,8,Nicholas of Clairvaux,Manuel Comnenus,d
1,2,Nicholas of Clairvaux,Bernard of Clairvaux,c
1,9,Nicholas of Clairvaux,"Galcher, Monk of Clairvaux",d
1,10,Nicholas of Clairvaux,"Fromund, Hospitaller of Clairvaux",d
2,11,Bernard of Clairvaux,Melisende of Jerusalem,d
2,11,Bernard of Clairvaux,Melisende of Jerusalem,b
2,12,Bernard of Clairvaux,Eleanor of Aquitaine,d
2,13,Bernard of Clairvaux,Hugh Farsit,c
2,14,Bernard of Clairvaux,"Theobald, Count of Champagne",d
2,14,Bernard of Clairvaux,"Theobald, Count of Champagne",d
2,15,Bernard of Clairvaux,Pope Innocent II,d
2,15,Bernard of Clairvaux,Pope Innocent II,d
2,16,Bernard of Clairvaux,Pope Eugenius III,d
2,17,Bernard of Clairvaux,"Theobald, Archbishop of Canterbury",a
2,15,Bernard of Clairvaux,Pope Innocent II,f
2,15,Bernard of Clairvaux,Pope Innocent II,f
2,15,Bernard of Clairvaux,Pope Innocent II,d
2,16,Bernard of Clairvaux,Pope Eugenius III,d
2,16,Bernard of Clairvaux,Pope Eugenius III,d
2,18,Bernard of Clairvaux,Legates of the Apostolic See,f
2,19,Bernard of Clairvaux,Pope Honorius,d
2,20,Bernard of Clairvaux,Cardinal Heimeric,d
2,21,Bernard of Clairvaux,b,d
2,22,Bernard of Clairvaux,"Henry de Blois, Bishop of Winchester",d
2,23,Bernard of Clairvaux,Adelaide of Maurienne,d
3,2,"Hildebert, Archbishop of Tours",Bernard of Clairvaux,d
2,24,Bernard of Clairvaux,The People of Pisa,d
2,25,Bernard of Clairvaux,Guy of Castello,b
2,26,Bernard of Clairvaux,Cardinal Alberic,d
2,15,Bernard of Clairvaux,Pope Innocent II,d
2,15,Bernard of Clairvaux,Pope Innocent II,c
2,15,Bernard of Clairvaux,Pope Innocent II,d
2,15,Bernard of Clairvaux,Pope Innocent II,f
2,15,Bernard of Clairvaux,Pope Innocent II,b
2,16,Bernard of Clairvaux,Pope Eugenius III,c
2,16,Bernard of Clairvaux,Pope Eugenius III,b
2,27,Bernard of Clairvaux,"Hugh, Bishop of Ostia",f
