Id,Label
1,Amalric of Nesle
2,Louis VII of France
3,"Amalric, King of Jerusalem"
4,Aimery of Limoges
5,Henry II of England
6,Bertrand of Blancafort
7,"Anselm, Archbishop of Canterbury"
8,"Lanfranc, Archbishop of Canterbury"
9,Avesgot
10,"Henry, a Monk of Bec"
11,"Gundulf, Bishop of Rochester"
12,"Herluin, a Monk of Bec"
13,Albert the Physician
14,"Helgot, Prior of Saint-Étienne at Caen"
15,"Henry, Prior of Christ Church"
17,Hunfrid the Teacher
18,"Adela, Countess of Flanders"
19,"Baldwin, Abbot of Bury St. Edmunds"
20,Richard and Rohais De Clare
21,"Fulk, Abbot of Saint-Pierre-sur-Dives"
22,"Ida, Countess of Blois"
23,Gilbert Crispin
24,Walter the Monk
25,William the Abbot
26,Abbot R.
27,Peter of Celle
28,Pope Alexander III
29,Pope Anastasius IV or Pope Hadrian IV
30,Archbishop Hugh of Sens
31,The Prior and community of Mont-Dieu
32,Albert of Morra
33,Peter of Pavia
34,Archbishop Eskil of Lund
35,"Richard, Archbishop of Canterbury"
36,Archbishop Absalon of Lund
37,"Ralph of Bedford, Prior of Worcester"
38,The Abbot of Villers
39,H. Abbot of Cluny
40,Abbot Hugh of Saint-Amand
41,"Prior Odo of Christ Church, Canterbury"
42,The Prior and community of Canterbury
43,The Abbot and community of Villers
44,"Burchard, Abbot of Balerne"
45,"Simon, Abbot of Chézy- l'Abbaye"
46,Nicholas of Clairvaux
47,"Hugh II, Archbishop of Tours"
48,"Henry, Bishop of Troyes"
50,Manuel Comnenus
51,Bernard of Clairvaux
52,"Galcher, Monk of Clairvaux"
53,"Fromund, Hospitaller of Clairvaux"
54,"Guthric, King of Dublin"
55,"Adelelm, Abbot of Abingdon"
56,"Odo, Abbot of Chertsey"
57,Abbot W.
58,Thomas Becket
59,Fulk of Rheims
60,Master Lombard
61,Bishop Arnulf of Lisieux
62,Gilbert Foliot
63,"Nigel, Bishop of Ely"
64,"Roger, Bishop of Worcester"
65,Melisende of Jerusalem
66,Eleanor of Aquitaine
67,Hugh Farsit
68,"Theobald, Count of Champagne"
69,Pope Innocent II
70,Pope Eugenius III
71,"Theobald, Archbishop of Canterbury"
72,Legates of the Apostolic See
73,Pope Honorius
74,Cardinal Heimeric
75,"Henry, Bishop of Verdun"
76,"Henry de Blois, Bishop of Winchester"
77,Adelaide of Maurienne
78,"Hildebert, Archbishop of Tours"
79,The People of Pisa
80,Guy of Castello
81,Cardinal Alberic
82,"Hugh, Bishop of Ostia"
83,Hildegard of Bingen
84,A Provisor
85,A Certain Provost
86,The Monk Guibert
87,Bishop John of Poitiers
88,John of Salisbury
89,Nicholas de Sigillo
90,Master Nicholas
91,William de Turba
92,"Gratian, papal notary"
